datetime,path,referrer,referrer_path,country,country_name,device,browser,os,event_type
2026-04-04T18:00:00Z,/en/,www.3dbear.io,/en/,OM,Oman,mobile,ChromeMobile,iOS,pageview
2026-04-04T18:00:00Z,/en/,www.3dbear.io,/en/,OM,Oman,mobile,ChromeMobile,iOS,pageview
2026-04-04T18:00:00Z,/en/,www.3dbear.io,/en/,OM,Oman,mobile,ChromeMobile,iOS,pageview
2026-04-04T18:00:00Z,/en/,www.3dbear.io,/en/,OM,Oman,mobile,ChromeMobile,iOS,pageview
2026-04-04T18:00:00Z,/en/,www.3dbear.io,/en/,OM,Oman,mobile,ChromeMobile,iOS,pageview
2026-04-04T18:00:00Z,/en/,www.google.com,/,OM,Oman,mobile,ChromeMobile,iOS,visit
2026-04-04T18:00:00Z,/en/,www.google.com,/,OM,Oman,mobile,ChromeMobile,iOS,visit
2026-04-04T18:00:00Z,/en/,www.google.com,/,OM,Oman,mobile,ChromeMobile,iOS,visit
2026-04-04T15:35:00Z,/blog/impact-of-ai/,www.google.com,/,CA,Canada,desktop,Safari,MacOSX,visit
2026-04-04T15:35:00Z,/blog/impact-of-ai/,www.google.com,/,CA,Canada,desktop,Safari,MacOSX,visit
2026-04-05T02:45:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,mobile,ChromeMobile,Android,visit
2026-04-05T02:45:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,mobile,ChromeMobile,Android,visit
2026-04-04T08:20:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,mobile,ChromeMobile,Android,visit
2026-04-04T08:20:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,mobile,ChromeMobile,Android,visit
2026-04-05T00:10:00Z,/blog/impact-of-ai/,(direct),,IN,India,mobile,ChromeMobile,Android,visit
2026-04-05T00:10:00Z,/blog/impact-of-ai/,(direct),,IN,India,mobile,ChromeMobile,Android,visit
2026-04-04T21:35:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,mobile,ChromeMobile,Android,visit
2026-04-04T21:35:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,mobile,ChromeMobile,Android,visit
2026-04-04T12:20:00Z,/en/asiakastarinat/asiakastyon-harjoittelu/,(direct),,NL,Netherlands,mobile,ChromeMobile,Android,visit
2026-04-04T14:05:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,mobile,ChromeMobile,Android,visit
