datetime,path,referrer,referrer_path,country,device,browser,os,pageviews,visits
2026-04-04T18:00:00Z,/en/,www.3dbear.io,/en/,OM,mobile,ChromeMobile,iOS,5,0
2026-04-04T18:00:00Z,/en/,www.google.com,/,OM,mobile,ChromeMobile,iOS,3,3
2026-04-04T15:35:00Z,/blog/impact-of-ai/,www.google.com,/,CA,desktop,Safari,MacOSX,2,2
2026-04-05T02:45:00Z,/blog/impact-of-ai/,www.google.com,/,IN,mobile,ChromeMobile,Android,2,2
2026-04-04T08:20:00Z,/blog/impact-of-ai/,www.google.com,/,IN,mobile,ChromeMobile,Android,2,2
2026-04-05T00:10:00Z,/blog/impact-of-ai/,(direct),,IN,mobile,ChromeMobile,Android,2,2
2026-04-04T21:35:00Z,/blog/impact-of-ai/,www.google.com,/,IN,mobile,ChromeMobile,Android,2,2
2026-04-04T12:20:00Z,/en/asiakastarinat/asiakastyon-harjoittelu/,(direct),,NL,mobile,ChromeMobile,Android,1,1
2026-04-04T14:05:00Z,/blog/impact-of-ai/,www.google.com,/,IN,mobile,ChromeMobile,Android,1,1
2026-04-04T22:55:00Z,/en/asiakastarinat/luksia-fysiikka/,(direct),,US,mobile,ChromeMobile,Android,1,1
2026-04-04T11:30:00Z,/blog/impact-of-ai/,www.google.com,/,US,desktop,Chrome,Windows,1,1
2026-04-04T07:10:00Z,/blog/impact-of-ai/,www.google.com,/,JP,desktop,Chrome,MacOSX,1,1
2026-04-04T07:25:00Z,/blog/impact-of-ai/,www.google.com,/,BD,desktop,Chrome,Windows,1,1
2026-04-04T23:00:00Z,/blog/impact-of-ai/,www.google.com,/,US,desktop,Chrome,MacOSX,1,1
2026-04-04T13:50:00Z,/en/simuna/liiketoiminta/,(direct),,NL,mobile,ChromeMobile,Android,1,1
2026-04-04T18:00:00Z,/en/contact/,www.3dbear.io,/en/,OM,mobile,ChromeMobile,iOS,1,0
2026-04-04T23:15:00Z,/blog/impact-of-ai/,(direct),,MY,desktop,Chrome,Windows,1,1
2026-04-04T18:40:00Z,/tiimi/pekka-salokannel/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T19:45:00Z,/en/blog/impact-of-ai/,www.3dbear.io,/blog/impact-of-ai/,US,desktop,Chrome,Windows,1,0
2026-04-04T13:50:00Z,/blog/impact-of-ai/,www.google.com,/,ET,desktop,Safari,MacOSX,1,1
2026-04-04T14:50:00Z,/,www.3dbear.io,/blog/impact-of-ai/,AU,mobile,MobileSafari,iOS,1,0
2026-04-05T02:15:00Z,/,shypd.ai,/tools/3dbear,IN,desktop,Chrome,Linux,1,1
2026-04-04T08:40:00Z,/blog/impact-of-ai/,www.google.com,/,IN,desktop,Chrome,Windows,1,1
2026-04-04T16:20:00Z,/en/blog/vastine-hs/,(direct),,CN,desktop,Unknown,Unknown,1,1
2026-04-04T19:15:00Z,/en/,www.google.com,/,SA,tablet,ChromeMobile,iOS,1,1
2026-04-04T11:35:00Z,/en/asiakastarinat/circular-economy-game/,www.3dbear.io,/en/asiakastarinat/,BG,desktop,Chrome,Windows,1,0
2026-04-04T17:50:00Z,/en/,www.google.com,/,OM,mobile,ChromeMobile,iOS,1,1
2026-04-04T22:50:00Z,/blog/impact-of-ai/,www.google.com,/,JM,mobile,ChromeMobile,Android,1,1
2026-04-04T11:00:00Z,/blog/impact-of-ai/,www.google.com,/,IN,mobile,ChromeMobile,Android,1,1
2026-04-04T17:05:00Z,/,www.google.com,/,SA,mobile,MobileSafari,iOS,1,1
2026-04-04T04:55:00Z,/blog/impact-of-ai/,www.google.com,/,AU,desktop,Chrome,Windows,1,1
2026-04-04T19:35:00Z,/en/privacy/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T05:50:00Z,/blog/impact-of-ai/,www.google.com,/,US,desktop,Chrome,ChromeOS,1,1
2026-04-04T14:55:00Z,/blog/impact-of-ai/,(direct),,US,desktop,Chrome,MacOSX,1,1
2026-04-04T10:25:00Z,/blog/impact-of-ai/,www.google.com,/,DE,mobile,ChromeMobile,Android,1,1
2026-04-05T01:35:00Z,/en/asiakastarinat/laakkeiden-jako/,(direct),,SE,mobile,ChromeMobile,Android,1,1
2026-04-04T10:15:00Z,/en/tags/ai/,(direct),,JP,mobile,ChromeMobile,Android,1,1
2026-04-04T17:40:00Z,/en/immersive-spaces/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T11:40:00Z,/en/tapahtumat/sett-2026/,www.3dbear.io,/en/tapahtumat/,BG,desktop,Chrome,Windows,1,0
2026-04-04T15:50:00Z,/blog/impact-of-ai/,www.google.com,/,CA,desktop,Safari,MacOSX,1,1
2026-04-05T03:55:00Z,/asiakastarinat/ostfold/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T12:40:00Z,/asiakastarinat/sedu-english/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T15:35:00Z,/blog/impact-of-ai/,www.google.com,/,IN,mobile,ChromeMobile,iOS,1,1
2026-04-04T13:45:00Z,/en/asiakastarinat/livia/,(direct),,GB,mobile,ChromeMobile,Android,1,1
2026-04-04T07:20:00Z,/,www.bing.com,/,IN,desktop,Edge,Windows,1,1
2026-04-04T08:50:00Z,/blog/impact-of-ai/,www.google.com,/,IN,mobile,ChromeMobile,Android,1,1
2026-04-04T12:40:00Z,/asiakastarinat/bit-the-spectrum/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T10:20:00Z,/blog/impact-of-ai/,chatgpt.com,/,GR,desktop,Chrome,MacOSX,1,1
2026-04-05T03:25:00Z,/blog/impact-of-ai/,(direct),,AU,mobile,MobileSafari,iOS,1,1
2026-04-04T18:00:00Z,/en/simuna/,www.3dbear.io,/en/,OM,mobile,ChromeMobile,iOS,1,0
2026-04-04T08:30:00Z,/asiakastarinat/keuda/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-05T01:05:00Z,/blog/impact-of-ai/,www.google.com,/,US,desktop,Chrome,Windows,1,1
2026-04-05T03:55:00Z,/tags/uutiset/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T18:40:00Z,/blog/impact-of-ai/,www.google.com,/,PH,desktop,Chrome,MacOSX,1,1
2026-04-04T18:40:00Z,/blog/impact-of-ai/,www.google.com,/,ET,desktop,Edge,Windows,1,1
2026-04-04T13:50:00Z,/blog/impact-of-ai/,com.google.android.googlequicksearchbox,/,BD,mobile,ChromeMobile,Android,1,1
2026-04-04T07:40:00Z,/en/resurssit/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T10:25:00Z,/,(direct),,US,desktop,Unknown,Unknown,1,1
2026-04-04T10:40:00Z,/,(direct),,US,desktop,Unknown,Unknown,1,1
2026-04-04T06:10:00Z,/blog/impact-of-ai/,www.google.com,/,IN,desktop,Edge,Windows,1,1
2026-04-04T07:15:00Z,/simuna/liiketoiminta/,(direct),,NL,mobile,ChromeMobile,iOS,1,1
2026-04-05T03:00:00Z,/blog/impact-of-ai/,www.google.com,/,MY,desktop,Chrome,Windows,1,1
